Title,Company,Company_Rating,Location,Salary,Date,Description,Yearly,Hourly,Min_Salary,Max_Salary,Avg_Salary,Remote,State,Posted_Date,Python,R_studio,Spark,Excel,SQL,Hadoop
EJECUTIVO DE CUENTA CLAVE LINEA AUTOSERVICIOS,"Rish, SA de CV",,"Lerma de Villada, Méx.","$10,000 - $12,000 al mes",EmployerActivo hace 2 días,Análisis de Data de los portales para generar reportes que nos permitan tener visibilidad y sensibilidad de negocio para decisiones asertivas.,0,0,10000,12000,11000.0,0, Méx.,2022-05-02,0,0,0,0,0,0
Android Developer,iTjuana,,"Remoto in Tijuana, B.C.","$35,000 - $45,000 al mes",EmployerActivo hace 3 días,"You will write high quality code, using software engineering best practices to ensure your product is high quality and delivered on time.",0,0,35000,45000,40000.0,1, B.C.,2022-05-01,0,0,0,0,0,0
Software Development Engineer (Web) Full Stack Engineer,iTjuana,,"Tijuana, B.C.","$40,000 - $50,000 al mes",EmployerActivo hace 6 días,"You will be hired to help enhance our mobile applications within our existing and new SaaS product offerings.
 3+ years experience working full stack development…",0,0,40000,50000,45000.0,0, B.C.,2022-04-28,0,0,0,0,0,0
iOS Developer Remote Positions,iTjuana,,"Remoto in Querétaro, Qro.+1 ubicación","$33,000 - $63,000 al mes",EmployerActivo hace 5 días,"Implementing web and mobile experiences based on data insights.
 Test enthusiastic and practitioner of TDD.
 Write high quality code, using software engineering…",0,0,33000,63000,48000.0,1, Qro.,2022-04-29,0,0,0,0,0,0
Software Engineer - Mobile Developers IOS / Android Full Rem...,iTjuana,,Remoto in México,"$50,000 - $60,000 al mes",EmployerActivo hace 3 días,"You will write high quality code, using software engineering best practices to ensure your product is high quality and delivered on time.",0,0,50000,60000,55000.0,1,Remoto in México,2022-05-01,0,0,0,0,0,0
ejecutivo de ventas,Data Voice,3.4,"Tlalnepantla, Méx.","$5,700 al mes",EmployerActivo hace 3 días,"Experiencia mínima 6 Meses en vetas call center o face to face.
 Medio tiempo 07:00-13:00 de lunes a viernes a sábado.
 Bachillerato trunco o en curso (Deseable).",0,0,5700,5700,5700.0,0, Méx.,2022-05-01,0,0,0,0,0,0
Ingeniero de Controles / Senior Controls Specialist,Spiegel MFG S.A. De C.V.,,"Tlalnepantla, Méx.","$15,000 al mes",EmployerActivo hace 14 días,"Conocimiento deseable en Redes LAN, WAN y Wireless, Administración de Servidores - UNIX, Windows y Linux.
 Mínimo 5 años de Experiencia en Active Directory, MS…",0,0,15000,15000,15000.0,0, Méx.,2022-04-20,0,0,0,0,0,0
Automation Tester [SDET],iTjuana,,Baja California,"$25,000 - $60,000 al mes",Postedhace 30+ días,"Implementing and testing web and mobile experiences based on data insights.
 Applying agile practices to delivery high quality products always on time.",0,0,25000,60000,42500.0,0,Baja California,2022-04-04,0,0,0,0,0,0
Test Automation,iTjuana,,"Querétaro, Qro.","$60,000 - $65,000 al mes",Postedhace 8 días,"Implementing and testing web and mobile experiences based on data insights.
 Applying agile practices to delivery high quality products always on time.",0,0,60000,65000,62500.0,0, Qro.,2022-04-26,0,0,0,0,0,0
iOS Developer Remote Positions,iTjuana,,"Remoto in Querétaro, Qro.+1 ubicación","$33,000 - $63,000 al mes",EmployerActivo hace 5 días,"Implementing web and mobile experiences based on data insights.
 Test enthusiastic and practitioner of TDD.
 Write high quality code, using software engineering…",0,0,33000,63000,48000.0,1, Qro.,2022-04-29,0,0,0,0,0,0
Node JS Developer,FreeAgent CRM,,"Guadalajara, Jal.","$50,000 al mes",Postedhace 1 día,"Migrate data from CSV and other systems into FreeAgent CRM.
 Work with members of the Customer Success team in capturing requirements, defining the solutions,…",0,0,50000,50000,50000.0,0, Jal.,2022-05-03,0,0,0,0,0,0
Sales Development Representative,Lernit,,"Remoto temporalmente in Monterrey, N. L.","$10,000 - $14,000 al mes",EmployerActivo hace 14 días,Estamos comprometidos con brindar a nuestros clientes las herramientas que necesitan para impulsar y motivar a sus equipos a alcanzar sus objetivos y así lograr…,0,0,10000,14000,12000.0,1, N. L.,2022-04-20,0,0,0,0,0,0
Recruiter,USA Vein Clinics,,"Tijuana, B.C.","$20,000 - $25,000 al mes",EmployerActivo hace 3 días,"Ability to analyze and interpret applicant data, to develop criteria for candidate selection and make hiring recommendations.",0,0,20000,25000,22500.0,0, B.C.,2022-05-01,0,0,0,0,0,0
Mobile Android Developer - Full Remote / Desarrollador Móvil...,iTjuana,,"Remoto in Monterrey, N. L.","$40,000 - $50,000 al mes",EmployerActivo hace 16 días,"You will write high quality code, using software engineering best practices to ensure your product is high quality and delivered on time.",0,0,40000,50000,45000.0,1, N. L.,2022-04-18,0,0,0,0,0,0
Senior Java Backend Developer (Remote in all MEXICO),Jonajo Consulting,,"Remoto temporalmente in Monterrey, N. L.+3 ubicaciones","$40,000 - $60,000 al mes",Postedhace 2 días,"Strong in data modeling/database organization experience.
 Strong in data modeling/database organization experience.
 Java Developer, Typescript a plus.",0,0,40000,60000,50000.0,1, N. L.,2022-05-02,0,0,0,0,0,0
LIDER DE MERCADOTECNIA,Ana Davila,,"Saltillo, Coah.","$13,000 al mes",Postedhace 2 días,"Creacipon y Gestión de campañas.
 A/B Testing y Diseño de Embudos de Conversión.
 Aportar Ideas creativas para las estrategias de marketing.",0,0,13000,13000,13000.0,0, Coah.,2022-05-02,0,0,0,0,0,0
Android Developer,iTjuana,,"Remoto in Tijuana, B.C.","$35,000 - $45,000 al mes",EmployerActivo hace 3 días,"You will write high quality code, using software engineering best practices to ensure your product is high quality and delivered on time.",0,0,35000,45000,40000.0,1, B.C.,2022-05-01,0,0,0,0,0,0
Digital Web Tag Developer,iProcess Solutions Inc,,México,"$2,500 - $3,000 al mes",EmployerActivo hace 13 días,"Ensure tag syntax validity and data accuracy.
 Develop event & data collection tags to meet tracking and reporting requirements.
 Job Types: Full-time, Contract.",0,0,2500,3000,2750.0,0,México,2022-04-21,0,0,0,0,0,0
Test Automation,iTjuana,,"Querétaro, Qro.","$60,000 - $65,000 al mes",Postedhace 8 días,"Implementing and testing web and mobile experiences based on data insights.
 Applying agile practices to delivery high quality products always on time.",0,0,60000,65000,62500.0,0, Qro.,2022-04-26,0,0,0,0,0,0
EJECUTIVO DE CUENTA CLAVE LINEA AUTOSERVICIOS,"Rish, SA de CV",,"Lerma de Villada, Méx.","$10,000 - $12,000 al mes",EmployerActivo hace 2 días,Análisis de Data de los portales para generar reportes que nos permitan tener visibilidad y sensibilidad de negocio para decisiones asertivas.,0,0,10000,12000,11000.0,0, Méx.,2022-05-02,0,0,0,0,0,0
Process Engineering Supervisor,Corning Optical Communications,3.8,"Reynosa, Tamps.","$45,000 - $70,000 al mes",EmployerActivo hace 2 días,"Analyze and resolve technical problems, develop specifications, formulate plans, estimates and other required engineering data to effectively address process…",0,0,45000,70000,57500.0,0, Tamps.,2022-05-02,0,0,0,0,0,0
Real Estate Agent (Realtor),Reliance Fund,,"Apodaca, N. L.","$10,000 al mes",EmployerActivo hace 3 días,"The candidate will manage activities related to property research, outreach, property acquisition, property management, due diligence, property sale, including…",0,0,10000,10000,10000.0,0, N. L.,2022-05-01,0,0,0,0,0,0
Mobile Android Developer - Full Remote / Desarrollador Móvil...,Insulet Corporation,,"Remoto in Monterrey, N. L.+1 ubicación","$40,000 - $50,000 al mes",Postedhace 30+ días,"You will write high quality code, using software engineering best practices to ensure your product is high quality and delivered on time.",0,0,40000,50000,45000.0,1, N. L.,2022-04-04,0,0,0,0,0,0
Ingeniero de Controles / Senior Controls Specialist,Spiegel MFG S.A. De C.V.,,"Tlalnepantla, Méx.","$15,000 al mes",EmployerActivo hace 14 días,"Soporte operativo en plantas de Ensamble en la Industria Automotriz con conocimiento en PLCs Allen Bradley 5 y CLX, Factory Talk, Control Logix, RSLinx, RSLogix…",0,0,15000,15000,15000.0,0, Méx.,2022-04-20,0,0,0,0,0,0
Marketing Coordinator,Rincon Property Management Inc.,,"Guadalajara, Jal.","$22,500 al mes",PostedHoy,"Analyzing data with me to identify trends, performance, etc.
 At Rincon Property Management, we strive to facilitate a company culture that prioritizes both…",0,0,22500,22500,22500.0,0, Jal.,2022-05-04,0,0,0,0,0,0
Android Developer,iTjuana,,"Remoto in Tijuana, B.C.","$35,000 - $45,000 al mes",EmployerActivo hace 3 días,"From compelling Android mobile experiences to timely data-driven insights.
 In ITJuana we’ve grown the team up to 180 people in the last year, and we will…",0,0,35000,45000,40000.0,1, B.C.,2022-05-01,0,0,0,0,0,0
ADMINISTRADOR DE DATOS JR,Nukote Coating Systems Mexico.,,"Monterrey, N. L.","$16,000 al mes",EmployerActivo hace 26 días,"Empresa con giro en el area de combustibles solicita candidato para Administrador de datos Jr.
 CONOCIMIENTO DE BASE DE DATOS INTERMEDIO/AVANZADO.",0,0,16000,16000,16000.0,0, N. L.,2022-04-08,0,0,0,0,0,0
Software Engineer - Test Automation,iTjuana,,"Sinaloa, Sin.+3 ubicaciones","$60,000 - $65,000 al mes",Postedhace 8 días,"Implementing and testing web and mobile experiences based on data insights.
 From responsive single page web apps to sophisticated container-based orchestration,…",0,0,60000,65000,62500.0,0, Sin.,2022-04-26,0,0,0,0,0,0
Molding Manager,Corning Optical Communications,3.8,"Reynosa, Tamps.","$80,000 - $100,000 al mes",EmployerActivo hace 2 días,"We’re looking for a proven leader who’s eager to grow, manage, and inspire a group that includes but not limited to Molding Engineering (Process, Tooling,…",0,0,80000,100000,90000.0,0, Tamps.,2022-05-02,0,0,0,0,0,0
IoT Software Engineer,iTjuana,,"Tijuana, B.C.","$30,000 al mes",EmployerActivo hace 3 días,"Must be approachable, show respect for others, and be able to present data effectively to different audiences.
 Fluency in Object-Oriented Design, UML.",0,0,30000,30000,30000.0,0, B.C.,2022-05-01,0,0,0,0,0,0
Recepcionista / Auxiliar Administrativo Ingles Indispensable,International Teacher Training Organization,,"Guadalajara, Jal.","$6,600 al mes",Postedhace 2 días,Enrollment of students * Keep a keen eye on your data * Schedule your follow-up activities * Warm up prospects to speed up deal flow * Qualify inbound leads * …,0,0,6600,6600,6600.0,0, Jal.,2022-05-02,0,0,0,0,0,0
Marketing Coordinator,Rincon Property Management Inc.,,"Guadalajara, Jal.","$22,500 al mes",PostedHoy,"Analyzing data with me to identify trends, performance, etc.
 Using the latest technology ensures that each member of our team is able to stay up-to-date with…",0,0,22500,22500,22500.0,0, Jal.,2022-05-04,0,0,0,0,0,0
Agente telefónico bilingüe - Answering Service Representativ...,Explora Communication Services,,"Mérida, Yuc.","$10,000 - $12,500 al mes",Postedhace 2 días,"Our first and foremost focus is to provide exceptional customer care.
 Depending on the type of business, you may also schedule, cancel and change appointments,…",0,0,10000,12500,11250.0,0, Yuc.,2022-05-02,0,0,0,0,0,0
Molding Manager,Corning Optical Communications,3.8,"Reynosa, Tamps.","$80,000 - $100,000 al mes",EmployerActivo hace 2 días,"We’re looking for a proven leader who’s eager to grow, manage, and inspire a group that includes but not limited to Molding Engineering (Process, Tooling,…",0,0,80000,100000,90000.0,0, Tamps.,2022-05-02,0,0,0,0,0,0
Ingeniero de Controles / Senior Controls Specialist,Spiegel MFG S.A. De C.V.,,"Tlalnepantla, Méx.","$15,000 al mes",EmployerActivo hace 14 días,"Conocimiento deseable en Redes LAN, WAN y Wireless, Administración de Servidores - UNIX, Windows y Linux.
 Mínimo 5 años de Experiencia en Active Directory, MS…",0,0,15000,15000,15000.0,0, Méx.,2022-04-20,0,0,0,0,0,0
Telephone Answering Service Representative - English & Frenc...,Explora Communication Services,,"Mérida, Yuc.","$11,500 - $14,000 al mes",Postedhace 2 días,"Our first and foremost focus is to provide exceptional customer care.
 Depending the type of business, you may also schedule, cancel and change appointments,…",0,0,11500,14000,12750.0,0, Yuc.,2022-05-02,0,0,0,0,0,0
Android Developer-Remote Position,iTjuana,,"Remoto in Tijuana, B.C.","$50,000 al mes",EmployerActivo hace 5 días,"3+ years experience in Android development.
 Experience working with: Java/Kotlin.
 Experience with Room or SQLite DBs.
 Cloud native development in to AWS.",0,0,50000,50000,50000.0,1, B.C.,2022-04-29,0,0,0,0,1,0
Sr Logistic Supervisor,Corning Optical Communications,3.8,"Reynosa, Tamps.","$40,000 - $60,000 al mes",EmployerActivo hace 3 días,"Monitor and analyze metrics data such as: Verified pallets, shipped pallets, loaded trucks, shipped trucks, over time, absenteeism; review trends of operation…",0,0,40000,60000,50000.0,0, Tamps.,2022-05-01,0,0,0,0,0,0
iOS Developer Remote Positions,iTjuana,,"Remoto in Querétaro, Qro.+1 ubicación","$33,000 - $63,000 al mes",EmployerActivo hace 5 días,"Implementing web and mobile experiences based on data insights.
 Test enthusiastic and practitioner of TDD.
 Write high quality code, using software engineering…",0,0,33000,63000,48000.0,1, Qro.,2022-04-29,0,0,0,0,0,0
Technical Support Specialist,Streamline Vacation Rental Software,,"Remoto temporalmente in Hermosillo, Son.","$18,000 - $20,000 al mes",EmployerActivo hace 27 días,"Analyze data regularly to ensure technical and quality standards are enforced throughout the integration life cycle.
 Report defects using tracking software.",0,0,18000,20000,19000.0,1, Son.,2022-04-07,0,0,0,0,0,0
Ejecutivo de ventas y recuperación de clientes,Data Voice,3.4,"Tlalnepantla, Méx.","$4,600 al mes",Contratación continua,"Realizar llamadas a clientes que ya cuentan con un registro.
 Experiencia mínima 6 Meses en ventas call center o face to face.",0,0,4600,4600,4600.0,0, Méx.,2022-05-04,0,0,0,0,0,0
Marketing Coordinator,Rincon Property Management Inc.,,"Guadalajara, Jal.","$22,500 al mes",PostedHoy,"Analyzing data with me to identify trends, performance, etc.
 Using the latest technology ensures that each member of our team is able to stay up-to-date with…",0,0,22500,22500,22500.0,0, Jal.,2022-05-04,0,0,0,0,0,0
Automation Tester [SDET],iTjuana,,Baja California,"$25,000 - $60,000 al mes",Postedhace 30+ días,"Implementing and testing web and mobile experiences based on data insights.
 Applying agile practices to delivery high quality products always on time.",0,0,25000,60000,42500.0,0,Baja California,2022-04-04,0,0,0,0,0,0
IoT Software Engineer,iTjuana,,"Tijuana, B.C.","$30,000 al mes",EmployerActivo hace 3 días,We are seeking a Software Engineer that can directly impact the experience of patients and clinicians as well as business operations with their breadth of…,0,0,30000,30000,30000.0,0, B.C.,2022-05-01,0,0,0,0,0,0
Mobile Android Developer - Full Remote / Desarrollador Móvil...,iTjuana,,"Remoto in Monterrey, N. L.","$40,000 - $50,000 al mes",EmployerActivo hace 16 días,"You will write high quality code, using software engineering best practices to ensure your product is high quality and delivered on time.",0,0,40000,50000,45000.0,1, N. L.,2022-04-18,0,0,0,0,0,0
Automation Tester [SDET],iTjuana,,Baja California,"$25,000 - $60,000 al mes",Postedhace 30+ días,"Implementing and testing web and mobile experiences based on data insights.
 Applying agile practices to delivery high quality products always on time.",0,0,25000,60000,42500.0,0,Baja California,2022-04-04,0,0,0,0,0,0
Software Development Engineer (Web) Full Stack Engineer,iTjuana,,"Tijuana, B.C.","$40,000 - $50,000 al mes",EmployerActivo hace 6 días,"You will be hired to help enhance our mobile applications within our existing and new SaaS product offerings.
 3+ years experience working full stack development…",0,0,40000,50000,45000.0,0, B.C.,2022-04-28,0,0,0,0,0,0
iOS Developer Remote Positions,iTjuana,,"Remoto in Querétaro, Qro.+1 ubicación","$33,000 - $63,000 al mes",EmployerActivo hace 5 días,"Implementing web and mobile experiences based on data insights.
 Test enthusiastic and practitioner of TDD.
 Write high quality code, using software engineering…",0,0,33000,63000,48000.0,1, Qro.,2022-04-29,0,0,0,0,0,0
Real Estate Call Center Rep.,Reliance Fund,,"Tampico, Tamps.","$10,000 al mes",EmployerActivo hace 6 días,"We are looking for talented, driven, and sales-oriented individuals who excel at the English language and have strong communication and sales skills.",0,0,10000,10000,10000.0,0, Tamps.,2022-04-28,0,0,0,1,0,0
Software Engineer - Mobile Developers IOS / Android Full Rem...,iTjuana,,Remoto in México,"$50,000 - $60,000 al mes",EmployerActivo hace 3 días,"You will write high quality code, using software engineering best practices to ensure your product is high quality and delivered on time.",0,0,50000,60000,55000.0,1,Remoto in México,2022-05-01,0,0,0,0,0,0
Customer Service Representative,Streamline Vacation Rental Software,,"Hermosillo, Son.","$14,000 - $20,000 al mes",Postedhace 30+ días,"Review and analyze data on a regular basis to ensure all services are set up and utilizes properly.
 The customer will rely on your expertise to ensure a…",0,0,14000,20000,17000.0,0, Son.,2022-04-04,0,0,0,0,0,0
BGV- Service Delivery Executive,Neeyamo Enterprise Solutions,,"San Andrés Cholula, Pue.","$7,500 al mes",PostedHoy,"Candidate should have the capability to own the problem and get the job done effectively- must be capable of getting verifications, solving customer issues…",0,0,7500,7500,7500.0,0, Pue.,2022-05-04,0,0,0,0,0,0
Android Developer,iTjuana,,"Remoto in Tijuana, B.C.","$35,000 - $45,000 al mes",EmployerActivo hace 3 días,"You will write high quality code, using software engineering best practices to ensure your product is high quality and delivered on time.",0,0,35000,45000,40000.0,1, B.C.,2022-05-01,0,0,0,0,0,0
IoT Software Engineer,iTjuana,,"Tijuana, B.C.","$30,000 al mes",EmployerActivo hace 3 días,We are seeking a Software Engineer that can directly impact the experience of patients and clinicians as well as business operations with their breadth of…,0,0,30000,30000,30000.0,0, B.C.,2022-05-01,0,0,0,0,0,0
Senior Software Engineer,Agave Lab,,"Guadalajara, Jal.","$40,000 - $60,000 al mes",Postedhace 5 días,"You are familiar with data structures, storage systems, cloud infrastructure, front-end frameworks, and other technical tools.
 Pool at the office (splash!!).",0,0,40000,60000,50000.0,0, Jal.,2022-04-29,0,0,0,0,0,0
Realtor/Real Estate experienced professional,Reliance Fund,,"Saltillo, Coah.","$10,000 al mes",EmployerActivo hace 9 días,"Communication with clients and partners.
 Monitoring and maintenance of database.
 Prior experience in the U.S. is welcome, but not necessary.",0,0,10000,10000,10000.0,0, Coah.,2022-04-25,0,0,0,0,0,0
Recruiter,USA Vein Clinics,,"Tijuana, B.C.","$20,000 - $25,000 al mes",EmployerActivo hace 3 días,"Ability to analyze and interpret applicant data, to develop criteria for candidate selection and make hiring recommendations.",0,0,20000,25000,22500.0,0, B.C.,2022-05-01,0,0,0,0,0,0
Real Estate Agent (Realtor),Reliance Fund,,"Apodaca, N. L.","$10,000 al mes",EmployerActivo hace 3 días,"The candidate will manage activities related to property research, outreach, property acquisition, property management, due diligence, property sale, including…",0,0,10000,10000,10000.0,0, N. L.,2022-05-01,0,0,0,0,0,0
Sr Logistic Supervisor,Corning Optical Communications,3.8,"Reynosa, Tamps.","$40,000 - $60,000 al mes",EmployerActivo hace 3 días,"Monitor and analyze metrics data such as: Verified pallets, shipped pallets, loaded trucks, shipped trucks, over time, absenteeism; review trends of operation…",0,0,40000,60000,50000.0,0, Tamps.,2022-05-01,0,0,0,0,0,0
PROPOSAL SPECIALIST,Green Pace Capital,,"Tijuana, B.C.","$4,000 - $5,000 por semana",Postedhace 2 días,"Apply data program techniques and procedures.
 Comply with data integrity and security policies.
 Compile, verify accuracy and sort information according to…",0,0,4000,5000,4500.0,0, B.C.,2022-05-02,0,0,0,0,0,0
BGV- Service Delivery Executive,Neeyamo Enterprise Solutions,,"San Andrés Cholula, Pue.","$7,500 al mes",PostedHoy,"Candidate should have the capability to own the problem and get the job done effectively- must be capable of getting verifications, solving customer issues…",0,0,7500,7500,7500.0,0, Pue.,2022-05-04,0,0,0,0,0,0
Recruiter,USA Vein Clinics,,"Tijuana, B.C.","$20,000 - $25,000 al mes",EmployerActivo hace 3 días,"Ability to analyze and interpret applicant data, to develop criteria for candidate selection and make hiring recommendations.",0,0,20000,25000,22500.0,0, B.C.,2022-05-01,0,0,0,0,0,0
LIDER DE MERCADOTECNIA,Ana Davila,,"Saltillo, Coah.","$13,000 al mes",Postedhace 2 días,"Creacipon y Gestión de campañas.
 A/B Testing y Diseño de Embudos de Conversión.
 Aportar Ideas creativas para las estrategias de marketing.",0,0,13000,13000,13000.0,0, Coah.,2022-05-02,0,0,0,0,0,0
ADMINISTRADOR DE DATOS JR,Nukote Coating Systems Mexico.,,"Monterrey, N. L.","$16,000 al mes",EmployerActivo hace 26 días,"CONOCIMIENTO DE BASE DE DATOS INTERMEDIO/AVANZADO.
 EXPERIENCIA EN LA IMPLEMENTACIÓN DE UN ERP (DESEADA).",0,0,16000,16000,16000.0,0, N. L.,2022-04-08,0,0,0,0,0,0
Software Engineer - Mobile Developers IOS / Android Full Rem...,iTjuana,,Remoto in México,"$50,000 - $60,000 al mes",EmployerActivo hace 3 días,"You will write high quality code, using software engineering best practices to ensure your product is high quality and delivered on time.",0,0,50000,60000,55000.0,1,Remoto in México,2022-05-01,0,0,0,0,0,0
